万 wàn ten-thousand
丁 dīng man,fourth
冬 dōng winter
百 bǎi hundred
齐 qí together
说 shuō speak
话 huà words
朋 péng friend
春 chūn spring
高 gāo high
你 nǐ you
们 men guys
红 hóng red
绿 lǜ green
花 huā flower
草 cǎo grass
爷 yé grandfather
节 jié holiday,part
岁 suì year
亲 qīn parent
的 de of
行 háng line
古 gǔ ancient
声 shēng voice
多 duō many
处 chù place
知 zhī know
忙 máng busy
洗 xǐ wash
认 rèn recognize
扫 sǎo sweep
真 zhēn true
母 mǔ mather
爸 bà father
全 quán all
关 guān close
写 xiě write
完 wán end
家 jiā family
看 kàn look
画 huà draw
笑 xiào laugh
兴 xìng prevail
会 huì can
妈 mā mather
奶 nǎi grandmother
午 wǔ midday
合 hé close,join
放 fàng put
收 shōu collect
女 nǚ woman
太 tài so
气 qì gas,anger
早 zǎo early
去 qù go
亮 liàng bright
和 hé and,sum
语 yǔ say
千 qiān thouand
李 lǐ plum
秀 xiù elegant
香 xiāng delicious
听 tīng listen
唱 chàng sing
连 lián connect
远 yuǎn faraway
定 dìng calm,decide
向 xiàng direction
以 yǐ because of,to
后 hòu after
更 gèng further,more
主 zhǔ owner
意 yì desire
总 zǒng general
先 xiān first
干 gàn do
赶 gǎn hurry
起 qǐ rise
明 míng tomorrow
净 jìng clean
同 tong together
工 gōng woker
专 zhuān special
才 cái ability
级 jí level
队 duì queue
蚁 yǐ ant
前 qián front
空 kōng empty
房 fáng house
网 wǎng net
诗 shī poetry
林 lín forest
童 tóng child
黄 huáng yellow
闭 bì close
立 lì stand
是 shì yes
美 měi beautiful
我 wǒ I
叶 yè leaf
机 jī machine
她 tā she
他 tā he
送 sòng give
过 guò pass
时 shí time
让 ràng let
虫 chóng insect
往 wǎng go,past
得 dé get
很 hěn very
河 hé river
姐 jiě sister
呀 ya modal－verbs
哪 nǎ where
谁 shuí who
怕 pà fear
跟 gēn follow
凉 liáng cool
量 liàng measure
最 zuì most
园 yuán circle
因 yīn because
为 wéi do,become
脸 liǎn face
阳 yáng sun
光 guāng light
可 kě can,approve
石 shí stone
办 bàn do
法 fǎ law
找 zhǎo find
许 xǔ allow
别 bié leave,other
到 dào arrive
那 nà that
都 dōu all
吓 xià intimidate
叫 jiào shout
再 zài again
象 xiàng elephant
像 xiàng like,picture
做 zuò do
点 diǎn spot
照 zhào shine
沙 shā sand
海 hǎi sea
桥 qiáo bridge
竹 zhú bamboo
军 jūn army
苗 miáo
井 jǐng seedling
乡 xiāng village
面 miàn face,surface
忘 wàng forget
想 xiǎng think,suppose
念 niàn miss,read
王 wáng king
从 cóng from,follower
边 biān edge
这 zhè this
进 jìn enter
道 dào way,road
贝 bèi shellfish
原 yuán basic
男 nán man
爱 ài love
虾 xiā shrimp
跑 pǎo run
吹 chuī blow
地 dì earth,land
快 kuài fast,happy
乐 lè happy,enjoy
老 lǎo old
师 shī teacher
短 duǎn short
对 duì right,couple
冷 lěng cold
淡 dàn light
热 rè hot
情 qíng feeling
拉 lā pull
把 bǎ hold
给 gěi give
活 huó live,work
种 zhòng grow
吃 chī eat
练 liàn practice
习 xí study
苦 kǔ bitter
学 xué study
非 fēi not
常 cháng usually
问 wèn ask
间 jiān between
伙 huǒ partner
伴 bàn companion
共 gòng together,share
汽 qì vapour
分 fēn divide
要 yào want,desire
没 méi not
位 wèi location
孩 hái child
选 xuǎn choose
北 běi north
南 nán south
江 jiāng river
湖 hú lake
秋 qiū fall
只 zhī single,only
星 xīng star
雪 xuě snow
帮 bāng help
请 qǐng please
就 jiù already
球 qiú ball
玩 wán play
跳 tiào jump
桃 táo peach
树 shù tree
刚 gāng just,strong
兰 lán orchid
各 gè each
坐 zuò sit
座 zuò seat
带 dài belt,carry
急 jí urgent
名 míng name
发 fā launch
成 chéng accomplish
晚 wǎn evening,late
动 dòng move
新 xīn new
有 yǒu have
在 zài at
变 biàn change
条 tiáo stripe
宜 yí suitable
实 shí truly
色 sè colour
华 huá China
谷 gǔ grain
金 jīn gold
尽 jìn finish
层 céng storey
丰 fēng lush
壮 zhuàng strong
